date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:40	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64132c0a-c6ef66dabb3e954;gz%22	https://codegraphi.com/robots.txt		(from )
10:57:40	63554/63554	---M-Z	200	added ('OK')	text/html	etag:%22f842-6693a4c1-64d6b2bad3f48caa;gz%22	https://codegraphi.com/	C:/My%20Web%20Sites/p1/codegraphi.com/index.html	(from )
10:57:40	24883/24883	---M--	200	added ('OK')	image/png	etag:%226133-6693a4c1-ad6fbce5e0778182;;;%22	https://codegraphi.com/assets/img/logo.png	C:/My%20Web%20Sites/p1/codegraphi.com/assets/img/logo.png	(from https://codegraphi.com/)
10:57:40	230989/230989	---M-Z	200	added ('OK')	text/css	etag:%223864d-6693a4c1-c2d06156fdb7863e;gz%22	https://codegraphi.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/bootstrap.min.css	(from https://codegraphi.com/)
10:57:41	94017/94017	---M-Z	200	added ('OK')	text/css	etag:%2216f41-6693a4c1-d8610a4c50883ce9;gz%22	https://codegraphi.com/assets/css/bootstrap-icons.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/bootstrap-icons.css	(from https://codegraphi.com/)
10:57:41	81069/81069	---M-Z	200	added ('OK')	text/css	etag:%2213cad-6693a4c1-955dad15fd64b14e;gz%22	https://codegraphi.com/assets/css/all.min.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/all.min.css	(from https://codegraphi.com/)
10:57:41	79402/79402	---M-Z	200	added ('OK')	text/css	etag:%221362a-6693a4c1-888fccbbec7c64b6;gz%22	https://codegraphi.com/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/fontawesome.min.css	(from https://codegraphi.com/)
10:57:41	15575/15575	---M-Z	200	added ('OK')	text/css	etag:%223cd7-6693a4c1-52e12f59b890fb00;gz%22	https://codegraphi.com/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/swiper-bundle.min.css	(from https://codegraphi.com/)
10:57:42	7605/7605	---M-Z	200	added ('OK')	text/css	etag:%221db5-6693a4c1-ee32ae0fda01d60b;gz%22	https://codegraphi.com/assets/css/magnific-popup.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/magnific-popup.css	(from https://codegraphi.com/)
10:57:42	87513/87513	---M-Z	200	added ('OK')	text/css	etag:%22155d9-6693a4c1-962b9eb056dd1978;gz%22	https://codegraphi.com/assets/css/animate.min.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/animate.min.css	(from https://codegraphi.com/)
10:57:42	122628/122628	---M-Z	200	added ('OK')	text/css	etag:%221df04-6693a4c1-d89f0249451f07ac;gz%22	https://codegraphi.com/assets/css/style.css	C:/My%20Web%20Sites/p1/codegraphi.com/assets/css/style.css	(from https://codegraphi.com/)
10:57:42	63554/63554	---M-Z	200	added ('OK')	text/html	etag:%22f842-6693a4c1-64d6b2bad3f48caa;gz%22	https://codegraphi.com/index.html	C:/My%20Web%20Sites/p1/codegraphi.com/index-2.html	(from https://codegraphi.com/)
10:57:42	44330/44330	---M-Z	200	added ('OK')	text/html	etag:%22ad2a-6693a4c1-e5e6922231378910;gz%22	https://codegraphi.com/about.html	C:/My%20Web%20Sites/p1/codegraphi.com/about.html	(from https://codegraphi.com/)
10:57:43	24695/24695	---M-Z	200	added ('OK')	text/html	etag:%226077-6693a4c1-3371b1fb51babc7;gz%22	https://codegraphi.com/service.html	C:/My%20Web%20Sites/p1/codegraphi.com/service.html	(from https://codegraphi.com/)
10:57:43	17898/17898	---M-Z	200	added ('OK')	text/html	etag:%2245ea-6693a4c1-73c4ca5643a91d49;gz%22	https://codegraphi.com/contact.html	C:/My%20Web%20Sites/p1/codegraphi.com/contact.html	(from https://codegraphi.com/)
10:57:43	62924/62924	---M--	200	added ('OK')	image/png	etag:%22f5cc-6693a4c1-55b9813e22e9efda;;;%22	https://codegraphi.com/assets/img/hero-vector.png	C:/My%20Web%20Sites/p1/codegraphi.com/assets/img/hero-vector.png	(from https://codegraphi.com/)
10:57:43	114651/114651	---M--	200	added ('OK')	image/jpeg	etag:%221bfdb-6693a4c1-456cb6c35a32e45c;;;%22	https://codegraphi.com/assets/img/about-baner-1.jpg	C:/My%20Web%20Sites/p1/codegraphi.com/assets/img/about-baner-1.jpg	(from https://codegraphi.com/)
10:57:44	34807/34807	---M--	200	added ('OK')	image/jpeg	etag:%2287f7-6693a4c1-7f2f83876a223dab;;;%22	https://codegraphi.com/assets/img/about-baner-2.jpg	C:/My%20Web%20Sites/p1/codegraphi.com/assets/img/about-baner-2.jpg	(from https://codegraphi.com/)
10:57:44	3734/3734	---M--	200	added ('OK')	image/png	etag:%22e96-6693a4c1-367ef335a4223df0;;;%22	https://codegraphi.com/assets/img/icons/feature-icon-1.png	C:/My%20Web%20Sites/p1/codegraphi.com/assets/img/icons/feature-icon-1.png	(from https://codegraphi.com/)
